Template;Variant;SCM Shop;Rarity;Excluded;Screen Name;Stance;LoA;Equipment Type;Item Set;Item Type;Req. Stat;ModMin;ModMax
bd_ch_r_g_c_avg;o_str;v_r_bd_n;;;Chain Mail;Ranger;;armor;;bd;str;22;33
bd_ch_r_g_c_fun;base;v_r_bd_n;;;Tarnished Chain Mail;Ranger;;armor;;bd;str;0;0
bd_ra_ch_m_g_c_fin;base;v_m_bd_s;rare;;Solar Chain;Mage;;armor;;bd;str;2;11
bd_ra_ch_m_g_c_fin;o_avg;v_m_bd_s;rare;;Solar Chain;Mage;;armor;;bd;str;8;49
bd_ra_ch_m_g_c_fin;o_fin;v_m_bd_s;rare;;Solar Chain;Mage;;armor;;bd;str;13;70
bd_ra_ch_r_g_o_fin;base;v_r_amr_s;rare;;Dragon Weave;Ranger;;armor;;bd;str;10;48
bd_ra_ch_r_g_o_fin;c_str;v_r_amr_s;rare;;Dragon Weave;Ranger;;armor;;bd;str;15;62
bd_ra_ch_r_g_o_fin;o_mag;v_r_amr_s;rare;;Dragon Weave;Ranger;;armor;;bd;str;34;106
bd_ra_sc_f_g_o_mag;base;v_f_bd_s;rare;;Blood Scale;Fighter;;armor;;bd;str;19;33
bd_ra_sc_m_g_c_fin;base;v_m_bd_s;rare;;Shadow Scale;Mage;;armor;;bd;str;1;32
bd_ra_sc_m_g_c_fin;c_mag;v_m_bd_s;rare;;Shadow Scale;Mage;;armor;;bd;str;29;106
bd_ra_sc_m_g_c_fin;o_fin;v_m_bd_s;rare;;Shadow Scale;Mage;;armor;;bd;str;11;53
bd_ra_sc_r_g_c_fin;base;v_r_amr_s;rare;;Noble Scale;Ranger;;armor;;bd;str;1;23
bd_ra_sc_r_g_c_fin;c_str;v_r_amr_s;rare;;Noble Scale;Ranger;;armor;;bd;str;11;42
bd_sc_f_g_c_avg;base;v_f_bd_n;;;Thick Scale;Fighter;;armor;;bd;str;0;0
bd_sc_f_g_c_avg;c_str;v_f_bd_n;;;Thick Scale;Fighter;;armor;;bd;str;8;14
bd_sc_f_g_c_avg;o_fin;v_f_bd_n;;;Thick Scale;Fighter;;armor;;bd;str;5;11
bd_sc_f_g_c_avg;o_mag;v_f_bd_n;;;Thick Scale;Fighter;;armor;;bd;str;18;25
bd_sc_f_g_c_avg;o_str;v_f_bd_n;;;Thick Scale;Fighter;;armor;;bd;str;11;18
bd_sc_f_g_c_fun;base;v_f_bd_n;;;Pitted Scale;Fighter;;armor;;bd;str;0;0
bd_sc_f_g_o_low;base;v_f_bd_n;;;Bulky Scale;Fighter;;armor;;bd;str;0;0
bd_sc_m_g_c_avg;base;v_m_bd_n;;;Thin Scale;Mage;;armor;;bd;;0;0
bd_sc_m_g_c_avg;c_fin;v_m_bd_n;;;Thin Scale;Mage;;armor;;bd;str;1;9
bd_sc_m_g_c_avg;c_mag;v_m_bd_n;;;Thin Scale;Mage;;armor;;bd;str;27;38
bd_sc_m_g_c_avg;o_fin;v_m_bd_n;;;Thin Scale;Mage;;armor;;bd;str;10;22
bd_sc_r_g_c_avg;base;v_r_bd_n;;;Flexible Scale;Ranger;;armor;;bd;str;0;0
bd_sc_r_g_c_avg;c_fin;v_r_bd_n;;;Flexible Scale;Ranger;;armor;;bd;str;1;7
bd_sc_r_g_c_avg;c_str;v_r_bd_n;;;Flexible Scale;Ranger;;armor;;bd;str;10;20
bd_sc_r_g_c_avg;o_fin;v_r_bd_n;;;Flexible Scale;Ranger;;armor;;bd;str;8;16
bd_un_ch_r_green;base;v_r_amr_s;unique;;Green Chain Mail;Ranger;;armor;;bd;str;8;37
bd_un_sc_f_dragon;base;v_f_bd_s;unique;;Serpentine Scale;Fighter;;armor;;bd;str;9;33
bd_un_sc_r_d_o_mag;base;v_r_amr_s;unique;;Dark Scale;Ranger;;armor;;bd;str;12;54
bd_ra_ro_m_d_c_003;base;v_m_bd_s;rare;;Ash Burlap;Mage;;armor;;bd;int;2;10
bd_ra_ro_m_d_c_004;base;v_m_bd_s;rare;;Ash Burlap;Mage;;armor;;bd;int;1;13
bd_ra_ro_m_d_c_009;base;v_m_bd_s;rare;;Night Garment;Mage;;armor;;bd;int;3;20
bd_ra_ro_m_d_c_041;base;v_m_bd_s;rare;;Blood Coat;Mage;;armor;;bd;int;25;95
bd_ra_ro_m_d_c_043;base;v_m_bd_s;rare;;Blood Coat;Mage;;armor;;bd;int;29;116
bd_ra_ro_m_d_c_077;base;v_m_bd_s;rare;;Dream Robe;Mage;;armor;;bd;int;39;159
bd_ra_ro_m_g_c_001;base;v_m_bd_s;rare;;Clay Tatters;Mage;;armor;;bd;int;3;11
bd_ra_ro_m_g_c_002;base;v_m_bd_s;rare;;Dirt Rags;Mage;;armor;;bd;int;2;18
bd_ra_ro_m_g_c_005;base;v_m_bd_s;rare;;Solar Cloth;Mage;;armor;;bd;int;1;15
bd_ra_ro_m_g_c_005a;base;v_m_bd_s;rare;;Gossamer Linen;Mage;;armor;;bd;int;1;15
bd_ra_ro_m_g_c_008;base;v_m_bd_s;rare;;Night Garment;Mage;;armor;;bd;int;1;18
bd_ra_ro_m_g_c_012;base;v_m_bd_s;rare;;Night Garment;Mage;;armor;;bd;int;5;27
bd_ra_ro_m_g_c_014;base;v_m_bd_s;rare;;Night Garment;Mage;;armor;;bd;int;8;34
bd_ra_ro_m_g_c_015;base;v_m_bd_s;rare;;Night Garment;Mage;;armor;;bd;int;11;41
bd_ra_ro_m_g_c_018;base;v_m_bd_s;rare;;Astral Cloak;Mage;;armor;;bd;int;2;32
bd_ra_ro_m_g_c_020;base;v_m_bd_s;rare;;Astral Cloak;Mage;;armor;;bd;int;6;36
bd_ra_ro_m_g_c_021;base;v_m_bd_s;rare;;Astral Cloak;Mage;;armor;;bd;int;8;44
bd_ra_ro_m_g_c_023;base;v_m_bd_s;rare;;Astral Cloak;Mage;;armor;;bd;int;12;52
bd_ra_ro_m_g_c_024;base;v_m_bd_s;rare;;Astral Cloak;Mage;;armor;;bd;int;16;60
bd_ra_ro_m_g_c_026;base;v_m_bd_s;rare;;Astral Cloak;Mage;;armor;;bd;int;18;69
bd_ra_ro_m_g_c_029;base;v_m_bd_s;rare;;Astral Cloak;Mage;;armor;;bd;int;20;82
bd_ra_ro_m_g_c_031;base;v_m_bd_s;rare;;Blood Coat;Mage;;armor;;bd;int;3;54
bd_ra_ro_m_g_c_034;base;v_m_bd_s;rare;;Blood Coat;Mage;;armor;;bd;int;9;57
bd_ra_ro_m_g_c_037;base;v_m_bd_s;rare;;Blood Coat;Mage;;armor;;bd;int;14;76
bd_ra_ro_m_g_c_039;base;v_m_bd_s;rare;;Blood Coat;Mage;;armor;;bd;int;20;85
bd_ra_ro_m_g_c_042;base;v_m_bd_s;rare;;Blood Coat;Mage;;armor;;bd;int;28;107
bd_ra_ro_m_g_c_045;base;v_m_bd_s;rare;;Dream Robe;Mage;;armor;;bd;int;4;76
bd_ra_ro_m_g_c_046;base;v_m_bd_s;rare;;Dream Robe;Mage;;armor;;bd;int;12;78
bd_ra_ro_m_g_c_053;base;v_m_bd_s;rare;;Dream Robe;Mage;;armor;;bd;int;18;97
bd_ra_ro_m_g_c_059;base;v_m_bd_s;rare;;Dream Robe;Mage;;armor;;bd;int;26;111
bd_ra_ro_m_g_c_065;base;v_m_bd_s;rare;;Dream Robe;Mage;;armor;;bd;int;33;126
bd_ra_ro_m_g_c_071;base;v_m_bd_s;rare;;Dream Robe;Mage;;armor;;bd;int;37;142
bd_ra_ro_m_g_c_084;base;v_m_bd_s;rare;;Radiant Gown;Mage;;armor;;bd;int;6;125
bd_ra_ro_m_g_c_089;base;v_m_bd_s;rare;;Radiant Gown;Mage;;armor;;bd;int;18;176
bd_ra_ro_m_g_c_094;base;v_m_bd_s;rare;;Radiant Gown;Mage;;armor;;bd;int;18;230
bd_ra_ro_m_g_c_100;base;v_m_bd_s;rare;;Shadow Finery;Mage;;armor;;bd;int;7;143
bd_ra_ro_m_g_c_105;base;v_m_bd_s;rare;;Shadow Finery;Mage;;armor;;bd;int;20;255
bd_ra_ro_m_g_c_110;base;v_m_bd_s;rare;;Noble Vesture;Mage;;armor;;bd;int;11;270
bd_ro_m_d_c_003;base;v_m_bd_n;;;Burlap;Mage;;armor;;bd;;0;4
bd_ro_m_d_c_004;base;v_m_bd_n;;;Burlap;Mage;;armor;;bd;;1;6
bd_ro_m_d_c_009;base;v_m_bd_n;;;Garment;Mage;;armor;;bd;int;1;14
bd_ro_m_d_c_041;base;v_m_bd_n;;;Coat;Mage;;armor;;bd;int;20;64
bd_ro_m_d_c_043;base;v_m_bd_n;;;Coat;Mage;;armor;;bd;int;30;69
bd_ro_m_d_c_077;base;v_m_bd_n;;;Robe;Mage;;armor;;bd;int;48;101
bd_ro_m_g_c_001;base;v_m_bd_n;;;Tatters;Mage;;armor;;bd;;0;0
bd_ro_m_g_c_002;base;v_m_bd_n;;;Rags;Mage;;armor;;bd;;0;0
bd_ro_m_g_c_005;base;v_m_bd_n;;;Cloth;Mage;;armor;;bd;int;0;8
bd_ro_m_g_c_005a;base;v_m_bd_n;;;Linen;Mage;;armor;;bd;int;0;8
bd_ro_m_g_c_008;base;v_m_bd_n;;;Garment;Mage;;armor;;bd;int;0;12
bd_ro_m_g_c_012;base;v_m_bd_n;;;Garment;Mage;;armor;;bd;int;3;19
bd_ro_m_g_c_014;base;v_m_bd_n;;;Garment;Mage;;armor;;bd;int;5;22
bd_ro_m_g_c_015;base;v_m_bd_n;;;Garment;Mage;;armor;;bd;int;7;25
bd_ro_m_g_c_018;base;v_m_bd_n;;;Cloak;Mage;;armor;;bd;int;0;25
bd_ro_m_g_c_020;base;v_m_bd_n;;;Cloak;Mage;;armor;;bd;int;3;28
bd_ro_m_g_c_021;base;v_m_bd_n;;;Cloak;Mage;;armor;;bd;int;6;31
bd_ro_m_g_c_022;base;v_m_bd_n;;;Cloak;Mage;;armor;;bd;int;8;32
bd_ro_m_g_c_023;base;v_m_bd_n;;;Cloak;Mage;;armor;;bd;int;11;35
bd_ro_m_g_c_024;base;v_m_bd_n;;;Cloak;Mage;;armor;;bd;int;14;37
bd_ro_m_g_c_026;base;v_m_bd_n;;;Cloak;Mage;;armor;;bd;int;18;42
bd_ro_m_g_c_029;base;v_m_bd_n;;;Cloak;Mage;;armor;;bd;int;23;49
bd_ro_m_g_c_031;base;v_m_bd_n;;;Coat;Mage;;armor;;bd;int;0;44
bd_ro_m_g_c_034;base;v_m_bd_n;;;Coat;Mage;;armor;;bd;int;5;48
bd_ro_m_g_c_037;base;v_m_bd_n;;;Coat;Mage;;armor;;bd;int;10;55
bd_ro_m_g_c_039;base;v_m_bd_n;;;Coat;Mage;;armor;;bd;int;15;58
bd_ro_m_g_c_042;base;v_m_bd_n;;;Coat;Mage;;armor;;bd;int;25;65
bd_ro_m_g_c_044;base;v_m_bd_n;;;Coat;Mage;;armor;;bd;;1;15
bd_ro_m_g_c_045;base;v_m_bd_n;;;Robe;Mage;;armor;;bd;int;0;64
bd_ro_m_g_c_046;base;v_m_bd_n;;;Robe;Mage;;armor;;bd;int;7;66
bd_ro_m_g_c_053;base;v_m_bd_n;;;Robe;Mage;;armor;;bd;int;18;71
bd_ro_m_g_c_059;base;v_m_bd_n;;;Robe;Mage;;armor;;bd;int;25;79
bd_ro_m_g_c_063;base;v_m_bd_n;;;Robe;Mage;;armor;;bd;int;31;82
bd_ro_m_g_c_065;base;v_m_bd_n;;;Robe;Mage;;armor;;bd;int;32;84
bd_ro_m_g_c_067;base;v_m_bd_n;;;Robe;Mage;;armor;;bd;int;38;89
bd_ro_m_g_c_071;base;v_m_bd_n;;;Robe;Mage;;armor;;bd;int;40;96
bd_ro_m_g_c_084;base;v_m_bd_n;;;Gown;Mage;;armor;;bd;int;0;98
bd_ro_m_g_c_089;base;v_m_bd_n;;;Gown;Mage;;armor;;bd;int;1;109
bd_ro_m_g_c_094;base;v_m_bd_n;;;Gown;Mage;;armor;;bd;int;3;118
bd_ro_m_g_c_100;base;v_m_bd_n;;;Finery;Mage;;armor;;bd;int;0;114
bd_ro_m_g_c_105;base;v_m_bd_n;;;Finery;Mage;;armor;;bd;int;20;132
bd_ro_m_g_c_110;base;v_m_bd_n;;;Vesture;Mage;;armor;;bd;int;0;15
bd_ro_un_merik;;v_m_bd_s;;excluded;Starlight Vesture;Mage;;armor;;bd;int;;
bd_bl_f_g_c_avg;base;v_f_bd_n;;;Rigid Leather;Fighter;;armor;;bd;str;0;0
bd_bl_f_g_c_avg;c_str;v_f_bd_n;;;Rigid Leather;Fighter;;armor;;bd;str;6;10
bd_bl_f_g_c_avg;o_fin;v_f_bd_n;;;Rigid Leather;Fighter;;armor;;bd;str;4;8
bd_bl_f_g_c_fun;;v_f_bd_n;;;Worn Rigid Leather;Fighter;;armor;;bd;str;;
bd_bl_f_g_c_low;;v_f_bd_n;;;Cracked Rigid Leather;Fighter;;armor;;bd;str;;
bd_bl_m_g_c_avg;base;v_m_bd_n;;;Waxed Leather;Mage;;armor;;bd;;0;0
bd_bl_m_g_c_avg;c_fin;v_m_bd_n;;;Waxed Leather;Mage;;armor;;bd;;1;5
bd_bl_m_g_c_avg;o_fin;v_m_bd_n;;;Waxed Leather;Mage;;armor;;bd;;7;14
bd_bl_r_g_c_avg;base;v_r_bd_n;;;Boiled Leather;Ranger;;armor;;bd;str;0;0
bd_bl_r_g_c_avg;o_fin;v_r_bd_n;;;Boiled Leather;Ranger;;armor;;bd;str;5;11
bd_le_f_g_c_avg;base;v_f_bd_n;;;Thick Leather;Fighter;;armor;;bd;;0;0
bd_le_f_g_c_avg;c_fin;v_f_bd_n;;;Thick Leather;Fighter;;armor;;bd;str;1;2
bd_le_f_g_c_avg;o_fin;v_f_bd_n;;;Thick Leather;Fighter;;armor;;bd;str;2;5
bd_le_f_g_c_fun;;v_f_bd_n;;;Crude Leather;Fighter;;armor;;bd;;;
bd_le_f_g_c_low;;v_f_bd_n;;;Worn Leather;Fighter;;armor;;bd;;;
bd_le_m_g_c_avg;base;v_m_bd_n;;;Mage Leather;Mage;;armor;;bd;;0;0
bd_le_m_g_c_avg;c_str;v_m_bd_n;;;Mage Leather;Mage;;armor;;bd;;7;14
bd_le_m_g_c_avg;o_avg;v_m_bd_n;;;Mage Leather;Mage;;armor;;bd;;2;5
bd_le_m_g_c_avg;o_fin;v_m_bd_n;;;Mage Leather;Mage;;armor;;bd;;4;9
bd_le_r_g_c_avg;base;v_r_bd_n;;;Leather Armor;Ranger;;armor;;bd;;0;0
bd_le_r_g_c_avg;o_fin;v_r_bd_n;;;Leather Armor;Ranger;;armor;;bd;str;3;7
bd_le_r_g_c_low;;v_r_bd_n;;;Tattered Leather;Ranger;;armor;;bd;;;
bd_ra_bl_f_g_c_str;base;v_f_bd_s;rare;;Rock Pelt;Fighter;;armor;;bd;str;0;0
bd_ra_bl_f_g_c_str;o_fin;v_f_bd_s;rare;;Rock Pelt;Fighter;;armor;;bd;str;6;9
bd_ra_bl_m_g_c_fin;base;v_m_bd_s;rare;;Night Leather;Mage;;armor;;bd;;1;20
bd_ra_bl_m_g_c_fin;o_fin;v_m_bd_s;rare;;Night Leather;Mage;;armor;;bd;;7;35
bd_ra_bl_r_g_o_fin;base;v_r_amr_s;rare;;Stellar Leather;Ranger;;armor;;bd;str;5;21
bd_ra_le_f_g_c_fin;base;v_f_bd_s;rare;;Fused Leather;Fighter;;armor;;bd;str;1;5
bd_ra_le_m_g_o_avg;base;v_m_bd_s;rare;;Dream Leather;Mage;;armor;;bd;;2;15
bd_ra_le_r_g_o_fin;base;v_r_amr_s;rare;;Noble Leather;Ranger;;armor;;bd;str;4;15
bd_ra_sl_m_g_c_avg;base;v_m_bd_s;rare;;Classic Leather;Mage;;armor;;bd;;0;11
bd_ra_sl_m_g_c_avg;c_fin;v_m_bd_s;rare;;Classic Leather;Mage;;armor;;bd;;1;13
bd_ra_sl_m_g_c_avg;c_str;v_m_bd_s;rare;;Classic Leather;Mage;;armor;;bd;str;9;38
bd_ra_sl_m_g_c_avg;o_fin;v_m_bd_s;rare;;Classic Leather;Mage;;armor;;bd;;6;28
bd_ra_sl_m_g_c_avg;o_str;v_m_bd_s;rare;;Classic Leather;Mage;;armor;;bd;str;14;55
bd_ra_sl_r_g_c_avg;base;v_r_amr_s;rare;;Marshal Leather;Ranger;;armor;;bd;;0;7
bd_ra_sl_r_g_c_avg;c_fin;v_r_amr_s;rare;;Marshal Leather;Ranger;;armor;;bd;;1;9
bd_ra_sl_r_g_c_avg;c_str;v_r_amr_s;rare;;Marshal Leather;Ranger;;armor;;bd;str;7;25
bd_sl_f_g_c_avg;base;v_f_bd_n;;;Cleated Leather;Fighter;;armor;;bd;str;0;0
bd_sl_f_g_c_avg;c_str;v_f_bd_n;;;Cleated Leather;Fighter;;armor;;bd;str;5;8
bd_sl_f_g_c_avg;o_fin;v_f_bd_n;;;Cleated Leather;Fighter;;armor;;bd;str;3;6
bd_sl_f_g_c_fun;;v_f_bd_n;;;Torn Leather;Fighter;;armor;;bd;;;
bd_sl_m_g_c_avg;base;v_m_bd_n;;;Riveted Leather;Mage;;armor;;bd;;0;0
bd_sl_m_g_c_avg;c_fin;v_m_bd_n;;;Riveted Leather;Mage;;armor;;bd;;1;3
bd_sl_m_g_c_avg;c_mag;v_m_bd_n;;;Riveted Leather;Mage;;armor;;bd;str;18;26
bd_sl_m_g_c_avg;c_str;v_m_bd_n;;;Riveted Leather;Mage;;armor;;bd;str;8;16
bd_sl_m_g_c_avg;o_avg;v_m_bd_n;;;Riveted Leather;Mage;;armor;;bd;;2;6
bd_sl_m_g_c_avg;o_fin;v_m_bd_n;;;Riveted Leather;Mage;;armor;;bd;;5;11
bd_sl_m_g_c_avg;o_str;v_m_bd_n;;;Riveted Leather;Mage;;armor;;bd;str;14;21
bd_sl_m_g_c_fun;;v_m_bd_n;;;Weathered Leather;Mage;;armor;;bd;;;
bd_sl_r_g_c_avg;base;v_r_bd_n;;;Studded Leather;Ranger;;armor;;bd;;0;0
bd_sl_r_g_c_avg;c_fin;v_r_bd_n;;;Studded Leather;Ranger;;armor;;bd;;1;2
bd_sl_r_g_c_avg;c_mag;v_r_bd_n;;;Studded Leather;Ranger;;armor;;bd;str;14;20
bd_sl_r_g_c_avg;c_str;v_r_bd_n;;;Studded Leather;Ranger;;armor;;bd;str;6;12
bd_sl_r_g_c_avg;o_avg;v_r_bd_n;;;Studded Leather;Ranger;;armor;;bd;str;1;4
bd_sl_r_g_c_avg;o_fin;v_r_bd_n;;;Studded Leather;Ranger;;armor;;bd;str;4;8
bd_sl_r_g_c_avg;o_mag;v_r_bd_n;;;Studded Leather;Ranger;;armor;;bd;str;18;25
bd_sl_r_g_c_avg;o_str;v_r_bd_n;;;Studded Leather;Ranger;;armor;;bd;str;10;16
bd_un_bl_f_g_c_blood;base;v_f_bd_s;unique;;Lord Hovart's Blood Armor;Fighter;;armor;;bd;str;0;0
bd_un_bl_r_leaf;base;v_r_amr_s;unique;;Woodland Leather;Ranger;;armor;;bd;str;3;13
bd_un_le_f_pad_avg;base;v_f_bd_s;unique;excluded;Altan's Leather;Fighter;;armor;;bd;;0;0
bd_un_sl_f_barbarian;base;v_f_bd_s;unique;;Olaf's Studded Leather;Fighter;;armor;;bd;str;1;3
bd_ba_f_g_c_avg;base;v_f_bd_n;;;Banded Armor;Fighter;;armor;;bd;str;0;0
bd_ba_f_g_c_avg;o_fin;v_f_bd_n;;;Banded Armor;Fighter;;armor;;bd;str;8;16
bd_ba_f_g_c_avg;o_mag;v_f_bd_n;;;Banded Armor;Fighter;;armor;;bd;str;23;31
bd_ba_f_g_c_avg;o_str;v_f_bd_n;;;Banded Armor;Fighter;;armor;;bd;str;15;23
bd_ba_f_g_c_fun;base;v_f_bd_n;;;Stiff Banded Armor;Fighter;;armor;;bd;str;0;0
bd_ba_f_g_c_low;;v_f_bd_n;;;Crude Banded Armor;Fighter;;armor;;bd;str;;
bd_ba_m_g_c_str;base;v_m_bd_n;;;Mage Banded Armor;Mage;;armor;;bd;str;24;43
bd_ba_r_g_o_fin;base;v_r_bd_n;;;Ranger Banded Armor;Ranger;;armor;;bd;str;12;26
bd_bp_f_g_c_avg;base;v_f_bd_n;;;Battle Plate;Fighter;;armor;;bd;str;0;5
bd_bp_f_g_c_avg;c_fin;v_f_bd_n;;;Battle Plate;Fighter;;armor;;bd;str;2;13
bd_bp_f_g_c_avg;c_str;v_f_bd_n;;;Battle Plate;Fighter;;armor;;bd;str;18;32
bd_bp_f_g_c_avg;o_mag;v_f_bd_n;;;Battle Plate;Fighter;;armor;;bd;str;34;47
bd_bp_f_g_c_avg;o_str;v_f_bd_n;;;Battle Plate;Fighter;;armor;;bd;str;25;37
bd_bp_f_g_c_fun;;v_f_bd_n;;;Basic Battle Plate;Fighter;;armor;;bd;str;;
bd_br_f_g_c_avg;base;v_f_bd_n;;;Heavy Brigandine;Fighter;;armor;;bd;str;0;0
bd_br_f_g_c_avg;c_str;v_f_bd_n;;;Heavy Brigandine;Fighter;;armor;;bd;str;7;13
bd_br_f_g_c_avg;o_fin;v_f_bd_n;;;Heavy Brigandine;Fighter;;armor;;bd;str;5;10
bd_br_f_g_c_low;;v_f_bd_n;;;Haggard Brigandine;Fighter;;armor;;bd;str;;
bd_br_m_g_c_avg;base;v_m_bd_n;;;Thin Brigandine;Mage;;armor;;bd;;0;0
bd_br_m_g_c_avg;c_mag;v_m_bd_n;;;Thin Brigandine;Mage;;armor;;bd;str;25;34
bd_br_m_g_c_avg;o_fin;v_m_bd_n;;;Thin Brigandine;Mage;;armor;;bd;str;9;18
bd_br_m_g_c_low;;v_m_bd_n;;;Flimsy Brigandine;Mage;;armor;;bd;;;
bd_br_r_g_c_avg;base;v_r_bd_n;;;Brigandine Armor;Ranger;;armor;;bd;str;0;0
bd_br_r_g_c_avg;c_fin;v_r_bd_n;;;Brigandine Armor;Ranger;;armor;;bd;str;1;6
bd_br_r_g_c_avg;o_mag;v_r_bd_n;;;Brigandine Armor;Ranger;;armor;;bd;str;24;32
bd_fp_f_g_c_avg;base;v_f_bd_n;;;Full Plate;Fighter;;armor;;bd;str;0;4
bd_fp_f_g_c_avg;c_str;v_f_bd_n;;;Full Plate;Fighter;;armor;;bd;str;16;29
bd_fp_f_g_c_avg;o_fin;v_f_bd_n;;;Full Plate;Fighter;;armor;;bd;str;11;24
bd_fp_f_g_c_avg;o_mag;v_f_bd_n;;;Full Plate;Fighter;;armor;;bd;str;32;44
bd_fp_f_g_c_avg;o_str;v_f_bd_n;;;Full Plate;Fighter;;armor;;bd;str;23;34
bd_fp_f_g_c_fun;;v_f_bd_n;;;Bulky Full Plate;Fighter;;armor;;bd;str;;
bd_fp_m_g_o_mag;base;v_m_bd_n;;;Thin Plate;Mage;;armor;;bd;str;63;87
bd_fp_r_g_c_avg;base;v_r_bd_n;;;Quarter Plate;Ranger;;armor;;bd;str;0;7
bd_pl_f_g_c_avg;base;v_f_bd_n;;;Heavy Plate;Fighter;;armor;;bd;str;0;4
bd_pl_f_g_c_avg;c_fin;v_f_bd_n;;;Heavy Plate;Fighter;;armor;;bd;str;2;10
bd_pl_f_g_c_fun;;v_f_bd_n;;;Common Heavy Plate;Fighter;;armor;;bd;str;;
bd_pl_f_g_c_low;;v_f_bd_n;;;Dented Heavy Plate;Fighter;;armor;;bd;str;;
bd_pl_m_g_c_str;base;v_m_bd_n;;;Mage Plate;Mage;;armor;;bd;str;29;52
bd_pl_r_g_c_fin;base;v_r_bd_n;;;Ranger Plate;Ranger;;armor;;bd;str;3;15
bd_pl_r_g_c_fin;o_str;v_r_bd_n;;;Ranger Plate;Ranger;;armor;;bd;str;1;10
bd_ra_ba_f_g_o_fin;base;v_f_bd_s;rare;;Fused Steel;Fighter;;armor;;bd;str;8;16
bd_ra_ba_f_g_o_fin;o_mag;v_f_bd_s;rare;;Fused Steel;Fighter;;armor;;bd;str;23;40
bd_ra_bp_f_g_c_fin;base;v_f_bd_s;rare;;Stellar Plate;Fighter;;armor;;bd;str;2;16
bd_ra_bp_f_g_c_fin;c_str;v_f_bd_s;rare;;Stellar Plate;Fighter;;armor;;bd;str;18;34
bd_ra_br_f_g_c_str;base;v_f_bd_s;rare;;Clay Brigandine;Fighter;;armor;;bd;str;7;14
bd_ra_br_m_g_o_fin;base;v_m_bd_s;rare;;Compact Brigandine;Mage;;armor;;bd;str;9;44
bd_ra_br_m_g_o_fin;c_mag;v_m_bd_s;rare;;Compact Brigandine;Mage;;armor;;bd;str;26;97
bd_ra_br_r_g_c_avg;base;v_r_amr_s;rare;;Prime Brigandine;Ranger;;armor;;bd;str;0;20
bd_ra_br_r_g_c_avg;c_fin;v_r_amr_s;rare;;Prime Brigandine;Ranger;;armor;;bd;str;1;20
bd_ra_fp_f_g_o_fin;base;v_f_bd_s;rare;;Cardinal Plate;Fighter;;armor;;bd;str;10;25
bd_ra_fp_f_g_o_fin;o_str;v_f_bd_s;rare;;Cardinal Plate;Fighter;;armor;;bd;str;19;37
bd_ra_fp_r_g_c_avg;base;v_r_amr_s;rare;;Imperial Plate;Ranger;;armor;;bd;str;0;67
bd_un_ba_f_g_skeleton_captain;base;v_f_bd_s;unique;excluded;Ancient Banded;Fighter;;armor;;bd;str;0;0
